id_proyecto,Proyecto,Descripción del proyecto,Proyectos de exportación estratégica de largo plazo (PEELP),empresa,titular_proyecto,CUIT,sector,subsector,provincia,localidad_region,Monto (mill. USD),Activos Computables (mill. USD),Empleos (directos e indirectos),Estado administrativo,fecha_presentacion,fecha_adhesion_rigi,fecha_publicacion_bo,fecha_aprobacion,norma_aprobacion,link_norma,Fuentes,Fuentes (original),Links fuentes (original),Clasificación preexistencia BO,Justificación preexistencia BO
1,Ampliación del Tramo I del Gasoducto Perito Francisco Pascasio Moreno (GPM),"Construcción, financiamiento y Operación y Mantenimiento (O&M) de la infraestructura involucrada para generar una capacidad incremental de catorce millones de metros cúbicos por día (14 MMm³/d) al Tramo I del Gasoducto Francisco Pascasio Moren",No,TGS (Argentina),Transportadora de Gas del Sur S.A. Sucursal Dedicada 1,30-71881250-6,Petróleo y Gas,Midstream,Neuquén; Buenos Aires,"Desde Tratayén, Neuquén, hasta Salliqueló, Buenos Aires",550,513,7535,Aprobado,2025-10-27,2026-04-30,2026-05-12,2026-05-12,Res. 676/2026,https://www.boletinoficial.gob.ar/detalleAviso/primera/341877/20260513,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 676/2026; MECON,"Res. 676/2026, Globaris; MECON",,Sí,"La resolución describe la “Ampliación del Tramo I” del Gasoducto Perito Francisco Moreno, instalando compresoras para aumentar la capacidad de un gasoducto ya existente, lo cual prueba que el proyecto es una ampliación de un activo preexistente."
2,Diablillos,"Comprende actividades destinadas a la factibilidad, desarrollo, ejecución y operación del yacimiento de oro y plata “Diablillos”, integrado por quince (15) concesiones mineras contiguas y superpuestas en la zona limítrofe entre las provincias de Salta y Catamarca",No,AbraSilver Resource Corp. (Canadá),Pacific Rim Mining Corporation Argentina S.A.,30-67305977-1,Minería,Oro y Plata,Salta; Catamarca,NOA,764,482,2013,Aprobado,2025-11-20,2026-02-27,2026-05-07,2026-05-07,Res. 562/2026,https://www.boletinoficial.gob.ar/detalleAviso/primera/341756/20260511,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 562/2026; MECON,Res. 562/2026; Globaris; MECON,,No,La resolución para el proyecto Diablillos detalla la construcción de una planta de procesamiento y obras asociadas para un yacimiento de oro y plata sin mencionar expansiones ni proyectos previos.
3,Carbonatos Profundos (DCP),"Exploración de las concesiones mineras Gualcamayo 1 y Gualcamayo 2 y la determinación de la factibilidad del yacimiento de reservas minerales de oro y plata denominado “Carbonatos Profundos”, y la construcción, puesta en marcha y operación de la planta de tratamiento de dichos minerales extraídos del Proyecto",No,Aisa Group (Canadá),Minas Argentinas S.A.,30-71915462-6,Minería,Oro y Plata,San Juan,Cuyo,665,520,4500,Aprobado,2025-06-06,2025-11-27,2026-01-13,2026-01-13,Res. 6/2026,https://www.boletinoficial.gob.ar/detalleAviso/primera/337468/20260115,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 6/2026; MECON,Res. 6/2026; Globaris; MECON,,No,"La norma del proyecto Carbonatos Profundos describe la exploración de las concesiones Gualcamayo 1 y 2 y la construcción de una planta de tratamiento, sin referencias a fases previas o ampliaciones."
4,Parque Eólico Olavarría,"Instalación de un parque eólico de ciento ochenta (180) megavatios (180 MW) ubicado en la localidad de Olavarría, provincia de Buenos Aires, que también involucra la construcción de una nueva estación transformadora (ET) de treinta y tres a ciento treinta y dos kilovoltios (33/132 Kv) simple barra con dos transformadores de ciento veinte megavoltiamperios (120 MVA) y tres (3) campos, una línea de alta tensión (LAT) de ciento treinta y dos kilovoltios (132 Kv) de aproximadamente veinticinco kilómetros (25 km) de longitud que vinculará el parque eólico con la ET Olavarría -propiedad de TRANSBA SA-, y las obras de ampliación del sistema de transporte que incluirán la repotenciación de los capacitores series en la ET Olavarría y la ampliación de banco de capacitores shunt en la ET Ezeiza",No,PCR S.A. (Argentina); Acindar (ArcelorMittal) (Argentina),Generación Eléctrica Argentina Renovable I SA (GEAR),30-71592816-3,Energía,Eólico,Buenos Aires,Centro,276,255,165,Aprobado,2024-12-30,2025-07-25,2025-08-26,2025-08-26,Res. 1254/2025,https://www.boletinoficial.gob.ar/detalleAviso/primera/330400/20250827,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 1254/2025; MECON,Res. 1254/2025; Globaris; MECON,,No,"La resolución del Parque Eólico Olavarría describe la instalación de un nuevo parque eólico de 180 MW y obras de conexión eléctrica. Aunque se mencionan ampliaciones de la red de transporte, estas se refieren al sistema eléctrico y no evidencian un parque eólico preexistente."
5,Parque Solar El Quemado y Anexos,"Parque solar fotovoltaico ubicado en la localidad de Jocolí del departamento Las Heras de la provincia de Mendoza, el cual tendrá una capacidad instalada por un total de trescientos cinco megavatios (305 MW) a desarrollarse en dos (2) etapas y proveerá energía",No,Luz de Campo S.A.; YPF Luz (Argentina),Luz del Campo S.A.,30-71765521-0,Energía,Energio Solar,Mendoza,Cuyo,211,212,384,Aprobado,2024-10-25,2024-12-16,2025-01-07,2025-01-07,Res. 1/2025,https://www.boletinoficial.gob.ar/detalleAviso/primera/319374/20250108,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 1/2025; MECON,"Res. 1/2025, Globaris; MECON",,No,La resolución del Parque Solar El Quemado y Anexos indica la construcción de un parque solar fotovoltaico de 305 MW desarrollado en dos etapas; no hay menciones a instalaciones solares previas ni a ampliaciones de un proyecto existente.
6,Proyecto de Licuefacción de Gas Natural (FLNG - Southern Energy),Instalación de una planta flotante de licuefacción de gas natural para obtener Gas Natural Licuado (GNL),Sí,Pan American Energy (PAE) (Argentina); YPF S.A. (Argentina); Pampa Energía (Argentina); Harbour Energy (Reino Unido); Golar LNG (Noruega),Southern Energy S.A.,30-71858062-1,Petróleo y Gas,Licuefacción,Río Negro,Patagonia,15156,2825,836,Aprobado,2024-11-21,2025-04-28,2025-04-29,2025-04-29,Res. 559/2025,https://www.boletinoficial.gob.ar/detalleAviso/primera/324772/20250505,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 559/2025; MECON,Res. 559/2025; Globaris; MECON,,No,"La resolución para la planta de Licuefacción de Gas Natural (FLNG) describe la instalación de una planta flotante de GNL y conexión a gasoductos, sin señalar etapas previas ni ampliaciones."
7,Proyecto Siderúrgico Argentino Sidersa,"Construcción y puesta en operación de una nueva planta de aceros largos, que incluye tanto la acería como la laminadora continua en tándem, de menores emisiones de dióxido de carbono (CO2) respecto de las tecnologías tradicionales y bajo un modelo de producción de economía circular que permitirá reducir el consumo de recursos naturales y disminuir la huella ambiental a partir del uso de un noventa y nueve coma cinco por ciento (99,5%) de chatarra como materia prima",No,Sidersa S.A. (Argentina),Sidersa Acería S.D.E.,33-71879284-9,Siderurgia,Siderurgia,Buenos Aires,Buenos Aires,286,286,3800,Aprobado,2024-12-12,2025-05-30,2025-07-21,2025-07-21,Res. 1028/2025,https://www.boletinoficial.gob.ar/detalleAviso/primera/328690/20250722,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 1028/2025; MECON,Res. 1028/2025; Globaris; MECON,,No,El Proyecto Siderúrgico Argentino Sidersa consiste en construir y poner en marcha una nueva planta de acería y laminación de aceros largos; la resolución no indica ampliaciones de plantas existentes.
8,PSJ Cobre Mendocino,"Desarrollo, extracción y procesamiento de minerales sulfurados de cobre con recuperación de oro como subproducto del yacimiento “San Jorge”, y contempla la construcción y operación de una mina a cielo abierto y una planta concentradora basada en técnicas de flotación convencional",No,Zonda Metals GmBH (Suiza); Alberdi Energy (Argentina),Minera San Jorge SA,30-69228382-8,Minería,Cobre,Mendoza,Cuyo,891,613,6300,Aprobado,2025-11-06,2026-05-13,2026-05-26,2026-05-26,Res. 801/2026,https://www.boletinoficial.gob.ar/detalleAviso/primera/342483/20260528,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 801/2026; MECON,Res. 801/2026; Globaris; MECON,,No,"La norma del proyecto PSJ Cobre Mendocino expone la construcción y operación de una nueva mina a cielo abierto y planta concentradora en el yacimiento San Jorge, sin referencias a fases anteriores ni instalaciones preexistentes."
9,Proyecto Rincón,"Extracción directa de litio, nanofiltración y pretratamiento de salmuera que posibilitarán la extracción de litio sin la necesidad de concentración previa en piletas de evaporación, lo que reducirá significativamente el impacto ambiental y la alteración del paisaje, a la vez que también permitirá reducir la generación de residuos y la necesidad de reactivos químicos en el proceso.",Sí,Rio Tinto (Reino Unido),Rincón Mining Pty Ltd.,30-70708643-9,Minería,Litio,Salta,NOA,2744,2299,1985,Aprobado,2025-02-25,2025-05-19,2025-05-30,2025-05-30,Res. 735/2025,https://www.boletinoficial.gob.ar/detalleAviso/primera/326364/20250603,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 735/2025; MECON,Res. 735/2025; Globaris; MECON,,Sí,"La resolución del Proyecto Rincón detalla que la producción provendrá tanto de la planta Rincón 3000, con capacidad de 3.000 t de LCE, como de la construcción y operación de dos plantas “Rincón Full Potential” de 25.000 t cada una, mostrando que el proyecto amplía una planta existente."
10,Expansión Fase 1B,"Construcción de una nueva Planta de Adsorción Selectiva (SA 1B) y una nueva Planta de Carbonato (PC 1B); asimismo, incluye la perforación de pozos de salmuera adicionales, la instalación de estanques, tuberías, servicios públicos y la construcción de edificios auxiliares para apoyar la operación y administración de la nueva producción de carbonato de litio (cf., RE-2025-96020090-APN-SCEYM#MEC), como así también, la construcción de una nueva Planta Compresora de Gas Natural en la localidad de Olacapato, departamento de Los Andes, provincia de Salta, situada dentro del radio de doscientos kilómetros (200 km) del Proyecto, que permitirá ampliar la capacidad de transporte de los gasoductos “La Puna” y “Fénix”, instalaciones asociadas directamente al abastecimiento y transporte de gas natural para la nueva producción del proyecto “Expansión Fase 1B”.",No,Rio Tinto (Reino Unido),Minera del Altiplano S.A. Sucursal Dedicada,30-71906845-2,Minería,Litio,Catamarca,NOA,531,251,1273,Aprobado,2025-08-29,2026-03-25,2026-03-31,2026-03-31,Res. 431/2026,https://www.boletinoficial.gob.ar/detalleAviso/primera/340329/20260406,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Res. 431/2026; MECON,Res. 431/2026; Globaris; MECON,,Sí,La resolución del proyecto “Expansión Fase 1B” señala que consiste en la ampliación del proyecto preexistente Fénix para incrementar la capacidad productiva de carbonato de litio en 9.500 t/año.
