id_proyecto,Proyecto,Descripción del proyecto,Proyectos de exportación estratégica de largo plazo (PEELP),empresa,titular_proyecto,CUIT,sector,subsector,provincia,localidad_region,Monto (mill. USD),Activos Computables (mill. USD),Empleos (directos e indirectos),Estado administrativo,fecha_presentacion,fecha_adhesion_rigi,fecha_publicacion_bo,fecha_aprobacion,norma_aprobacion,link_norma,Fuentes,Fuentes (original),Links fuentes (original),Clasificación preexistencia BO,Justificación preexistencia BO
14,Ángeles Argentina,"Desarrollo de una explotación de litio en el Salar de Diablillos, departamento Los Andes, Salta, con infraestructura de extracción de salmuera y una planta de producción comercial. La iniciativa prevé una expansión por etapas de la capacidad productiva.",,"Tibet Summit Resources / Xizang Zhufeng Resources Co., Ltd. (China)",Potasio y Litio de Argentina S.A. (PLASA),,Minería,Litio,Salta,NOA,726,,,En evaluación,2025-01-14,,,,,,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Gobierno de Salta [https://www.salta.gob.ar/prensa/noticias/vinculos-con-empresa-minera-china-para-el-ingreso-de-productos-saltenios-al-pais-asiatico-104841]; Casa Rosada [https://www.casarosada.gob.ar/slider-principal/50224-el-presidente-se-reunio-con-autoridades-de-una-empresa-china-que-desarrolla-proyectos-de-extraccion-de-litio-en-salta]; Infobae [https://www.infobae.com/economia/2026/05/13/el-gobierno-aprobo-el-ingreso-al-rigi-de-la-ampliacion-del-gasoducto-perito-moreno-con-una-inversion-de-usd-550-millones/],Globaris; Gobierno de Salta; Casa Rosada; Infobae; auditoría 2026-08-08,https://www.salta.gob.ar/prensa/noticias/vinculos-con-empresa-minera-china-para-el-ingreso-de-productos-saltenios-al-pais-asiatico-104841; https://www.casarosada.gob.ar/slider-principal/50224-el-presidente-se-reunio-con-autoridades-de-una-empresa-china-que-desarrolla-proyectos-de-extraccion-de-litio-en-salta; https://www.infobae.com/economia/2026/05/13/el-gobierno-aprobo-el-ingreso-al-rigi-de-la-ampliacion-del-gasoducto-perito-moreno-con-una-inversion-de-usd-550-millones/,,
15,Arenas de Cercanía,Proyecto para extraer y procesar arena silícea de cercanía en Río Negro como agente sostén para operaciones de fractura hidráulica en Vaca Muerta. La iniciativa se orienta al abastecimiento regional y a reducir distancias logísticas respecto de otras cuencas de suministro.,,Minera del Mojotoro (Argentina); Minera Orosmayo (Argentina),Arenas de Cercanía S.A.,,Minería,Arena,Río Negro,Patagonia,232,,,En evaluación,2025-08-05,,,,,,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Infobae [https://www.infobae.com/economia/2026/05/13/el-gobierno-aprobo-el-ingreso-al-rigi-de-la-ampliacion-del-gasoducto-perito-moreno-con-una-inversion-de-usd-550-millones/]; Gobierno de Río Negro [https://rionegro.gov.ar/articulo/53275/rio-negro-fortalece-su-rol-en-el-abastecimiento-de-arena-para-vaca-muerta],Globaris; Infobae; Gobierno de Río Negro; auditoría 2026-08-08,https://www.infobae.com/economia/2026/05/13/el-gobierno-aprobo-el-ingreso-al-rigi-de-la-ampliacion-del-gasoducto-perito-moreno-con-una-inversion-de-usd-550-millones/; https://rionegro.gov.ar/articulo/53275/rio-negro-fortalece-su-rol-en-el-abastecimiento-de-arena-para-vaca-muerta,,
16,Bajo del Choique–La Invernada,"Desarrollo no convencional de petróleo y gas en los bloques Bajo del Choique–La Invernada, en Vaca Muerta. Contempla la perforación de más de 600 pozos, plantas de procesamiento, ductos e infraestructura asociada, con objetivos de hasta 100.000 barriles diarios de petróleo y 12 millones de m³ diarios de gas.",,Pluspetrol (Argentina); Gas y Petróleo del Neuquén S.A. (Argentina),Pluspetrol Cuenca Neuquina S.R.L.,,Petróleo y Gas,Upstream,Neuquén,Patagonia,12000,,,En evaluación,2025-04-24,,,,,,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Gobierno de Neuquén [https://www.neuqueninforma.gob.ar/noticias/2026/04/23/256641-neuquen-suma-un-nuevo-megaproyecto-al-rigi-con-apoyo-de-gyp]; EconoJournal [https://econojournal.com.ar/oilgas/pluspetrol-solicito-la-adhesion-al-rigi-para-el-bloque-bajo-del-choique-la-invernada-con-una-inversion-de-us12-000-millones/]; Luis Caputo [https://x.com/LuisCaputoAR/status/2047621135127269495]; Clarín [https://www.clarin.com/economia/rigi-vaca-muerta-pluspetrol-presento-inversiones-us-12000-millones-campo-compro-exxon_0_gYALiNgXD0.html],Globaris; Gobierno de Neuquén; EconoJournal; Luis Caputo; Clarín; auditoría 2026-08-08,https://www.neuqueninforma.gob.ar/noticias/2026/04/23/256641-neuquen-suma-un-nuevo-megaproyecto-al-rigi-con-apoyo-de-gyp; https://econojournal.com.ar/oilgas/pluspetrol-solicito-la-adhesion-al-rigi-para-el-bloque-bajo-del-choique-la-invernada-con-una-inversion-de-us12-000-millones/; https://x.com/LuisCaputoAR/status/2047621135127269495; https://www.clarin.com/economia/rigi-vaca-muerta-pluspetrol-presento-inversiones-us-12000-millones-campo-compro-exxon_0_gYALiNgXD0.html,,
18,Duplicar Norte,"Construcción de un oleoducto de aproximadamente 207 km entre el área de Auca Mahuida/Puesto Hernández, en Neuquén, y Allen, en Río Negro, junto con obras de repotenciación y medición. La ampliación busca sumar capacidad de transporte de crudo desde Vaca Muerta.",,Oldelval (Argentina),Oleoductos del Valle SDE,,Petróleo y Gas,Midstream,Neuquén; Río Negro,Patagonia,380,,,En evaluación,2025-07-21,,,,,,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Oldelval (12/03/2026) [https://www.oldelval.com/oldelval-inicia-la-etapa-constructiva-del-proyecto-duplicar-norte/]; Oldelval (04/07/2025) [https://www.oldelval.com/oldelval-confirmo-la-ejecucion-del-proyecto-duplicar-norte/]; Infobae [https://www.infobae.com/economia/2026/05/13/el-gobierno-aprobo-el-ingreso-al-rigi-de-la-ampliacion-del-gasoducto-perito-moreno-con-una-inversion-de-usd-550-millones/],Globaris; Oldelval; Infobae; auditoría 2026-08-08,https://www.oldelval.com/oldelval-inicia-la-etapa-constructiva-del-proyecto-duplicar-norte/; https://www.oldelval.com/oldelval-confirmo-la-ejecucion-del-proyecto-duplicar-norte/; https://www.infobae.com/economia/2026/05/13/el-gobierno-aprobo-el-ingreso-al-rigi-de-la-ampliacion-del-gasoducto-perito-moreno-con-una-inversion-de-usd-550-millones/,,
19,El Pachón,"Desarrollo de una mina de cobre y molibdeno de gran escala en San Juan, con plata como subproducto e infraestructura de procesamiento asociada. La solicitud al RIGI corresponde a la primera fase del proyecto y está orientada a producción para exportación.",,Glencore (Suiza),Glencore Pachón S.A.,,Minería,Cobre,San Juan,Cuyo,9500,,,En evaluación,2025-08-18,,,,,,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Glencore [https://www.glencore.com/media-and-insights/news/glencore-submits-RIGI-applications-in-respect-of-its-argentine-copper-projects]; Luis Caputo [https://x.com/LuisCaputoAR/status/1957458679835594969]; Reuters [https://www.reuters.com/latam/negocio/7X5ZW2SXG5IYNBUILMTT6GMS6U-2025-08-21/]; Infobae [https://www.infobae.com/economia/2026/05/13/el-gobierno-aprobo-el-ingreso-al-rigi-de-la-ampliacion-del-gasoducto-perito-moreno-con-una-inversion-de-usd-550-millones/],Globaris; Glencore; Luis Caputo; Reuters; Infobae; auditoría 2026-08-08,https://www.glencore.com/media-and-insights/news/glencore-submits-RIGI-applications-in-respect-of-its-argentine-copper-projects; https://x.com/LuisCaputoAR/status/1957458679835594969; https://www.reuters.com/latam/negocio/7X5ZW2SXG5IYNBUILMTT6GMS6U-2025-08-21/; https://www.infobae.com/economia/2026/05/13/el-gobierno-aprobo-el-ingreso-al-rigi-de-la-ampliacion-del-gasoducto-perito-moreno-con-una-inversion-de-usd-550-millones/,,
20,El Trapial,"Desarrollo de petróleo no convencional en el área El Trapial Este, en la formación Vaca Muerta, provincia de Neuquén. El programa prevé perforación, completación e infraestructura de superficie para ampliar la producción del bloque.",,Chevron (Estados Unidos),,,Petróleo y Gas,Upstream,Neuquén,Patagonia,13800,,,En evaluación,2026-06-02,,,,,,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Chevron [https://www.chevron.com/worldwide/argentina]; Infobae [https://www.infobae.com/economia/2026/06/02/chevron-presento-un-megaproyecto-bajo-el-rigi-para-invertir-usd-13800-millones-en-vaca-muerta/]; Clarín [https://www.clarin.com/economia/megainversion-vaca-muerta-chevron-presento-pedido-rigi-us-13800-millones_0_EXuEOYbjiy.html],Globaris; Chevron; Infobae; Clarín; auditoría 2026-08-08,https://www.chevron.com/worldwide/argentina; https://www.infobae.com/economia/2026/06/02/chevron-presento-un-megaproyecto-bajo-el-rigi-para-invertir-usd-13800-millones-en-vaca-muerta/; https://www.clarin.com/economia/megainversion-vaca-muerta-chevron-presento-pedido-rigi-us-13800-millones_0_EXuEOYbjiy.html,,
21,NCA+ (Nuevo Central Argentino),"Programa de inversión ferroviaria de carga de Nuevo Central Argentino para mejorar infraestructura y capacidad operativa de la red que vincula centros productivos con puertos de exportación. El proyecto alcanza tramos en Buenos Aires, Santa Fe, Santiago del Estero y Chaco.",,Nuevo Central Argentino S.A. (Argentina),Nuevo Central Argentino S.A.,,Infraestructura,Ferroviario,Buenos Aires; Santa Fe; Santiago del Estero; Chaco,Múltiples,200,,,En evaluación,,,,,,,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Ministerio de Economía / Boletín Oficial [https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-39-2025-415411/texto]; Nuevo Central Argentino [https://www.nca.com.ar/Nuestra-red]; Infobae [https://www.infobae.com/economia/2026/05/13/el-gobierno-aprobo-el-ingreso-al-rigi-de-la-ampliacion-del-gasoducto-perito-moreno-con-una-inversion-de-usd-550-millones/],Globaris; Ministerio de Economía / Boletín Oficial; Nuevo Central Argentino; Infobae; auditoría 2026-08-08,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-39-2025-415411/texto; https://www.nca.com.ar/Nuestra-red; https://www.infobae.com/economia/2026/05/13/el-gobierno-aprobo-el-ingreso-al-rigi-de-la-ampliacion-del-gasoducto-perito-moreno-con-una-inversion-de-usd-550-millones/,,
22,Parque Eólico La Rinconada,"Construcción de un parque eólico de 94,5 MW en Olavarría, provincia de Buenos Aires, integrado por 21 aerogeneradores. La energía se destinará principalmente a abastecer la planta siderúrgica de Siderca en Campana.",,Tenaris (Argentina),Vientos La Rinconada S.A.U.,,Energía,Eólico,Buenos Aires,Centro,206,,,En evaluación,2025-05-28,,,,,,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Tenaris [https://www.tenaris.com/en/news/2025/tenaris-begins-construction-of-second-wind-farm-in-argentina]; Infobae [https://www.infobae.com/economia/2026/05/13/el-gobierno-aprobo-el-ingreso-al-rigi-de-la-ampliacion-del-gasoducto-perito-moreno-con-una-inversion-de-usd-550-millones/],Globaris; Tenaris; Infobae; auditoría 2026-08-08,https://www.tenaris.com/en/news/2025/tenaris-begins-construction-of-second-wind-farm-in-argentina; https://www.infobae.com/economia/2026/05/13/el-gobierno-aprobo-el-ingreso-al-rigi-de-la-ampliacion-del-gasoducto-perito-moreno-con-una-inversion-de-usd-550-millones/,,
23,Planta de Tratamiento Los Toldos,"Desarrollo del área no convencional Los Toldos II Este, en Neuquén, con una planta central de procesamiento de crudo, perforación de pozos y sistemas de recolección y evacuación. El proyecto apunta a alcanzar una producción cercana a 70.000 barriles diarios.",,Tecpetrol S.A. (Argentina); Gas y Petróleo del Neuquén S.A. (Argentina),Tecpetrol S.A – Gas y Petróleo del Neuquén S.A. (UT),,Petróleo y Gas,Upstream,Neuquén,Patagonia,6391,,,En evaluación,2026-04-06,,,,,,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Techint Ingeniería y Construcción [https://www.techint.com/es/nuestros-proyectos/los-toldos-ii-este]; Vaca Muerta News [https://vacamuertanews.com/amp/a-30-km-de-rincon-de-los-sauces-tecpetrol-y-gyp-lanzan-un-megaproyecto-de-shale-oil-con-380-pozos.htm]; Infobae [https://www.infobae.com/economia/2026/05/13/el-gobierno-aprobo-el-ingreso-al-rigi-de-la-ampliacion-del-gasoducto-perito-moreno-con-una-inversion-de-usd-550-millones/],Globaris; Techint Ingeniería y Construcción; Vaca Muerta News; Infobae; auditoría 2026-08-08,https://www.techint.com/es/nuestros-proyectos/los-toldos-ii-este; https://vacamuertanews.com/amp/a-30-km-de-rincon-de-los-sauces-tecpetrol-y-gyp-lanzan-un-megaproyecto-de-shale-oil-con-380-pozos.htm; https://www.infobae.com/economia/2026/05/13/el-gobierno-aprobo-el-ingreso-al-rigi-de-la-ampliacion-del-gasoducto-perito-moreno-con-una-inversion-de-usd-550-millones/,,
24,Pozuelos Pastos Grandes (PPG),"Desarrollo integrado de litio en los salares Pozuelos y Pastos Grandes, en la Puna salteña, mediante una operación conjunta de Ganfeng Lithium y Lithium Argentina. El plan contempla infraestructura de extracción y procesamiento y una expansión por etapas hasta una capacidad objetivo de 150.000 toneladas anuales de carbonato de litio equivalente.",,Ganfeng Lithium (China); Lithium Argentina AG (Suiza),Lithea Inc.,,Minería,Litio,Salta,NOA,4245,,,En evaluación,2026-02-28,,,,,,Globaris [https://app.powerbi.com/view?r=eyJrIjoiNTFjY2E4NTYtOTVlNy00YmFiLWIwYmMtNWZkMjE4OTNhYmRiIiwidCI6IjNlMDUxM2Q2LTY4ZmEtNDE2ZS04ZGUxLTZjNWNkYzMxOWZmYSIsImMiOjR9&pageName=d1ee75596a51a9bde708]; Gobierno de Salta [https://www.salta.gob.ar/prensa/noticias/avanza-en-salta-el-proyecto-de-litio-pozuelos-pastos-grandes-104827]; Lithium Argentina [https://investors.lithium-argentina.com/news-releases/news-release-details/lithium-argentina-reports-fourth-quarter-and-full-year-2025]; Infobae [https://www.infobae.com/economia/2026/05/13/el-gobierno-aprobo-el-ingreso-al-rigi-de-la-ampliacion-del-gasoducto-perito-moreno-con-una-inversion-de-usd-550-millones/],Globaris; Gobierno de Salta; Lithium Argentina; Infobae; auditoría 2026-08-08,https://www.salta.gob.ar/prensa/noticias/avanza-en-salta-el-proyecto-de-litio-pozuelos-pastos-grandes-104827; https://investors.lithium-argentina.com/news-releases/news-release-details/lithium-argentina-reports-fourth-quarter-and-full-year-2025; https://www.infobae.com/economia/2026/05/13/el-gobierno-aprobo-el-ingreso-al-rigi-de-la-ampliacion-del-gasoducto-perito-moreno-con-una-inversion-de-usd-550-millones/,,
