anio,sector,subsector,monto_mill_usd,sector_total_mill_usd,total_anual_mill_usd,fuente
2024,Energía Eléctrica,Energía Eléctrica,37,37,595,https://www.argentina.gob.ar/economia/rigi
2024,Infraestructura,Puerto,0,0,595,https://www.argentina.gob.ar/economia/rigi
2024,Minería,Cobre,109,527,595,https://www.argentina.gob.ar/economia/rigi
2024,Minería,Litio,374,527,595,https://www.argentina.gob.ar/economia/rigi
2024,Minería,Oro y Plata,44,527,595,https://www.argentina.gob.ar/economia/rigi
2024,Petróleo y Gas,Midstream,17,31,595,https://www.argentina.gob.ar/economia/rigi
2024,Petróleo y Gas,Upstream,14,31,595,https://www.argentina.gob.ar/economia/rigi
2024,Siderurgia,Siderurgia,0,0,595,https://www.argentina.gob.ar/economia/rigi
2025,Energía Eléctrica,Energía Eléctrica,252,252,3691,https://www.argentina.gob.ar/economia/rigi
2025,Infraestructura,Puerto,92,92,3691,https://www.argentina.gob.ar/economia/rigi
2025,Minería,Cobre,419,1472,3691,https://www.argentina.gob.ar/economia/rigi
2025,Minería,Litio,948,1472,3691,https://www.argentina.gob.ar/economia/rigi
2025,Minería,Oro y Plata,105,1472,3691,https://www.argentina.gob.ar/economia/rigi
2025,Petróleo y Gas,Midstream,1565,1793,3691,https://www.argentina.gob.ar/economia/rigi
2025,Petróleo y Gas,Upstream,228,1793,3691,https://www.argentina.gob.ar/economia/rigi
2025,Siderurgia,Siderurgia,82,82,3691,https://www.argentina.gob.ar/economia/rigi
2026,Energía Eléctrica,Energía Eléctrica,162,162,5598,https://www.argentina.gob.ar/economia/rigi
2026,Infraestructura,Puerto,74,74,5598,https://www.argentina.gob.ar/economia/rigi
2026,Minería,Cobre,962,2579,5598,https://www.argentina.gob.ar/economia/rigi
2026,Minería,Litio,1358,2579,5598,https://www.argentina.gob.ar/economia/rigi
2026,Minería,Oro y Plata,259,2579,5598,https://www.argentina.gob.ar/economia/rigi
2026,Petróleo y Gas,Midstream,2277,2653,5598,https://www.argentina.gob.ar/economia/rigi
2026,Petróleo y Gas,Upstream,376,2653,5598,https://www.argentina.gob.ar/economia/rigi
2026,Siderurgia,Siderurgia,130,130,5598,https://www.argentina.gob.ar/economia/rigi
